"Applicant_ID,Household_Income_Range,Academic_Score,GPA,Field_of_Study,Region,Supporting_Notes"
"A001,<2000,88,3.72,Engineering,East Malaysia,First-generation university applicant"
"A002,2000-4000,91,3.85,Medicine,Central Malaysia,Strong academic background, active volunteer"
"A003,<2000,76,3.10,Arts,Northern Malaysia,Consistent grades but limited extracurriculars"
"A004,4000-6000,82,3.40,Computer Science,Southern Malaysia,Good project portfolio"
"A005,<2000,94,3.92,Engineering,East Malaysia,Top scorer in cohort"
"A006,2000-4000,68,2.85,Business,Central Malaysia,Average performance, strong leadership notes"
"A007,<2000,85,3.55,Computer Science,Northern Malaysia,Rural background, limited access to resources"
"A008,6000+,90,3.80,Engineering,Central Malaysia,High income household"
"A009,2000-4000,78,3.20,Education,Southern Malaysia,Teaching assistant experience"
"A010,<2000,92,3.88,Medicine,East Malaysia,Excellent results, strong recommendation"
"A011,4000-6000,74,3.00,Arts,Northern Malaysia,Borderline academic performance"
"A012,<2000,81,3.35,Business,Central Malaysia,Part-time work while studying"
"A013,2000-4000,89,3.70,Engineering,Southern Malaysia,Internship experience"
"A014,<2000,65,2.70,Computer Science,East Malaysia,Academic challenges noted"
"A015,2000-4000,83,3.45,Medicine,Northern Malaysia,Consistent academic record"
"A016,4000-6000,87,3.60,Engineering,Central Malaysia,Good academic standing"
"A017,<2000,79,3.25,Education,Southern Malaysia,Active community involvement"
"A018,2000-4000,95,3.95,Computer Science,Central Malaysia,Outstanding academic performance"
"A019,<2000,72,3.05,Business,East Malaysia,Financial hardship mentioned"
"A020,6000+,85,3.50,Engineering,Southern Malaysia,Meets academic criteria but higher income"